name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,sclmeet,sclact,hhmmb,gndr,yrbrn,agea,eisced,edulvlb,crpdwk,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
ESS9e03_1,9,3.1,17.02.2021,55711,DE,0.9994662404060364,0.7596949338912964,3.0373449325561523,4,8,8,5,4,5,7,1,5,4,2,2,1957,61,3,322,6,2,1,5,2,2,2,2,5,2,2,2,1,2,2,2,3,2,2,2,1,1,3
ESS9e03_1,9,3.1,17.02.2021,55804,DE,0.9994662404060364,0.7830495238304138,3.0373449325561523,4,7,8,5,5,5,5,1,6,3,4,2,1984,34,5,520,6,1,2,5,2,2,2,1,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2
ESS9e03_1,9,3.1,17.02.2021,55817,DE,0.9994662404060364,1.2329927682876587,3.0373449325561523,3,5,5,2,0,4,5,1,6,3,3,1,1971,47,3,322,6,3,2,5,2,6,2,3,3,2,3,2,1,2,6,4,6,4,6,1,2,4,3
ESS9e03_1,9,3.1,17.02.2021,55826,DE,0.9994662404060364,0.9625189304351807,3.0373449325561523,1,0,0,3,2,2,5,3,7,3,2,2,2002,16,2,212,6,2,2,3,2,1,1,2,2,2,1,1,1,1,1,2,5,1,1,1,3,5,2
ESS9e03_1,9,3.1,17.02.2021,55839,DE,0.9994662404060364,1.0864747762680054,3.0373449325561523,2,7,7,1,1,1,2,1,5,3,2,1,1989,29,3,322,6,1,3,3,3,1,2,5,4,2,3,3,4,1,1,1,5,5,3,1,2,1,5
ESS9e03_1,9,3.1,17.02.2021,55856,DE,0.9994662404060364,0.7808356285095215,3.0373449325561523,9,10,10,6,6,9,8,3,6,4,5,2,1985,33,7,720,6,1,1,5,1,5,3,3,2,1,4,3,1,1,3,2,2,2,5,1,1,4,3
ESS9e03_1,9,3.1,17.02.2021,55861,DE,0.9994662404060364,2.981930732727051,3.0373449325561523,5,3,8,8,8,8,8,1,4,3,2,1,1940,79,2,212,2,2,2,4,4,2,1,4,4,3,4,3,2,2,2,2,5,1,1,2,2,1,4
ESS9e03_1,9,3.1,17.02.2021,55873,DE,0.9994662404060364,1.0794105529785156,3.0373449325561523,2,2,3,1,1,0,2,1,4,3,3,1,1957,61,3,322,6,2,2,3,2,5,5,1,1,4,2,2,2,1,3,3,4,3,5,1,1,3,2
ESS9e03_1,9,3.1,17.02.2021,55996,DE,0.9994662404060364,1.2898223400115967,3.0373449325561523,0,1,8,0,0,0,0,2,6,2,1,2,1968,50,3,321,6,2,3,6,2,5,5,1,5,1,2,4,2,2,5,4,3,5,5,2,1,5,5
ESS9e03_1,9,3.1,17.02.2021,56004,DE,0.9994662404060364,0.6058521866798401,3.0373449325561523,0,0,1,0,0,0,2,1,5,1,2,1,1944,74,7,720,2,4,2,5,2,3,1,5,3,1,1,3,1,1,2,1,6,2,3,2,3,1,5
ESS9e03_1,9,3.1,17.02.2021,56030,DE,0.9994662404060364,1.0794105529785156,3.0373449325561523,9,9,9,1,0,0,8,1,3,2,2,1,1952,66,3,322,2,1,2,4,4,3,2,2,3,4,2,2,2,5,5,4,3,3,2,2,5,2,3
ESS9e03_1,9,3.1,17.02.2021,56084,DE,0.9994662404060364,0.893721342086792,3.0373449325561523,4,9,9,4,4,5,7,1,4,2,5,1,1979,39,5,520,6,1,2,5,2,5,4,3,5,2,2,4,2,4,5,5,2,5,5,2,2,3,4
ESS9e03_1,9,3.1,17.02.2021,56091,DE,0.9994662404060364,0.6123300790786743,3.0373449325561523,7,7,9,7,7,7,7,1,6,3,2,2,1941,78,7,800,2,1,3,3,2,4,2,4,6,1,3,2,1,2,3,2,4,4,4,3,1,6,4
ESS9e03_1,9,3.1,17.02.2021,56099,DE,0.9994662404060364,0.9954758286476135,3.0373449325561523,2,5,8,2,5,1,6,1,6,3,2,1,1964,54,3,322,6,1,4,5,2,5,2,6,3,2,2,1,2,2,5,1,5,2,2,1,3,2,1
ESS9e03_1,9,3.1,17.02.2021,56115,DE,0.9994662404060364,0.90782231092453,3.0373449325561523,6,7,7,4,4,5,5,1,5,2,4,1,1967,52,5,520,6,1,3,4,2,5,2,3,3,3,3,4,2,3,2,2,6,3,2,2,1,4,4
ESS9e03_1,9,3.1,17.02.2021,56117,DE,0.9994662404060364,0.8958531618118286,3.0373449325561523,8,8,9,5,5,8,4,1,4,1,1,1,1966,53,7,800,6,1,4,5,1,5,2,5,5,4,3,5,2,3,5,2,5,5,5,3,3,5,5
ESS9e03_1,9,3.1,17.02.2021,56138,DE,0.9994662404060364,0.90782231092453,3.0373449325561523,7,9,9,7,5,7,7,2,5,3,5,1,1969,49,5,520,6,2,1,5,2,3,2,3,4,2,2,2,2,2,2,2,3,3,5,3,2,2,5
ESS9e03_1,9,3.1,17.02.2021,56142,DE,0.9994662404060364,0.7808356285095215,3.0373449325561523,9,10,10,7,7,9,5,1,6,2,2,2,1992,27,6,620,2,1,2,3,2,4,1,4,1,2,4,2,4,2,3,2,5,2,2,2,2,1,1
ESS9e03_1,9,3.1,17.02.2021,56164,DE,0.9994662404060364,1.1555920839309692,3.0373449325561523,4,8,6,2,5,6,6,1,4,3,2,2,1995,23,5,423,6,2,3,6,1,2,4,1,5,2,4,1,1,1,5,2,2,2,3,1,2,4,1
ESS9e03_1,9,3.1,17.02.2021,56177,DE,0.9994662404060364,0.8540229201316833,3.0373449325561523,6,7,7,5,2,4,6,1,6,4,1,2,1950,68,3,322,1,2,2,4,1,3,2,3,5,1,3,2,3,1,2,2,5,1,2,1,1,3,3
ESS9e03_1,9,3.1,17.02.2021,56214,DE,0.9994662404060364,0.6123300790786743,3.0373449325561523,8,5,8,6,5,3,5,1,6,3,2,2,1946,72,5,520,2,1,2,3,2,3,2,2,4,2,5,2,2,2,2,2,4,2,2,1,1,4,2
ESS9e03_1,9,3.1,17.02.2021,56221,DE,0.9994662404060364,0.5333567261695862,3.0373449325561523,5,8,8,5,5,5,7,1,6,3,3,1,1958,60,7,800,6,1,3,6,1,5,2,3,5,1,1,2,2,1,4,2,4,4,2,1,1,2,5
ESS9e03_1,9,3.1,17.02.2021,56259,DE,0.9994662404060364,0.6756071448326111,3.0373449325561523,8,9,7,6,6,7,7,1,4,3,2,2,1961,57,6,610,6,2,3,5,2,2,3,4,5,2,3,2,2,1,2,2,6,2,3,1,2,4,4
ESS9e03_1,9,3.1,17.02.2021,56295,DE,0.9994662404060364,1.402550220489502,3.0373449325561523,0,4,5,0,0,1,1,2,2,1,2,1,1976,42,3,322,2,3,4,4,4,3,2,3,4,3,3,3,2,1,4,1,4,4,5,3,3,4,5
